[2025-08-27 21:23:33,493] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:46704 has connected.
[2025-08-27 21:26:34,095] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:46704 has closed.
[2025-08-27 21:26:34,095] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:26:35,027] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:26:35,027] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:26:35,027] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:53748 has connected.
[2025-08-27 21:26:38,407] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:53748 has closed.
[2025-08-27 21:26:38,407] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:26:39,848] [WARN] : [/home/zhang/SearchEngine/src/main.cpp:13:signalHandler] Caught signal 2, stopping server...
[2025-08-27 21:26:39,857] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:30:stop] SearchEngineServer stop ...
[2025-08-27 21:28:21,640] [INFO] : [/home/zhang/SearchEngine/src/main.cpp:31:main] Starting SearchEngineServer on 127.0.0.1:8888
[2025-08-27 21:28:21,641] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:22:start] SearchEngineServer start ...
[2025-08-27 21:28:25,190] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:28:25,190] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
