0 0 1301
1 1301 4514
2 5815 2617
3 8432 13102
4 21534 1358
5 22892 1476
6 24368 6641
7 31009 2765
8 33774 10849
9 44623 9542
10 54165 1585
11 55750 2463
12 58213 2937
13 61150 3892
14 65042 9577
15 74619 2335
16 76954 8071
17 85025 2399
18 87424 1487
19 88911 1130
20 90041 3510
21 93551 6548
22 100099 2991
23 103090 2429
24 105519 2646
25 108165 2706
26 110871 3902
27 114773 2656
28 117429 9587
29 127016 4323
30 131339 2322
31 133661 12072
32 145733 4199
33 149932 7881
34 157813 10813
35 168626 3450
36 172076 7016
37 179092 4505
38 183597 4954
39 188551 3098
40 191649 1376
41 193025 4076
42 197101 3210
43 200311 1837
44 202148 1850
45 203998 3587
46 207585 2572
47 210157 2670
48 212827 1085
49 213912 2282
50 216194 4440
51 220634 2333
52 222967 6799
53 229766 2141
54 231907 2621
55 234528 3013
56 237541 2624
57 240165 3038
58 243203 3142
59 246345 2452
60 248797 2777
61 251574 6764
62 258338 5245
63 263583 1698
64 265281 14197
65 279478 5542
66 285020 1007
67 286027 15025
68 301052 1885
69 302937 2401
70 305338 1967
71 307305 2950
72 310255 1998
73 312253 6807
74 319060 3172
75 322232 3200
76 325432 2438
77 327870 1978
78 329848 3017
79 332865 5934
80 338799 16540
81 355339 8166
82 363505 3624
83 367129 3293
84 370422 2675
85 373097 3437
86 376534 1637
87 378171 2691
88 380862 7068
89 387930 1944
90 389874 1692
91 391566 2087
92 393653 2593
93 396246 2447
94 398693 2992
95 401685 2417
96 404102 2185
97 406287 2337
98 408624 1644
99 410268 3597
100 413865 3997
101 417862 3999
102 421861 4224
103 426085 16825
104 442910 2027
105 444937 12329
106 457266 14344
107 471610 8871
108 480481 8078
109 488559 4809
110 493368 11426
111 504794 3406
112 508200 5005
113 513205 4585
114 517790 4189
115 521979 5561
116 527540 3452
117 530992 4295
118 535287 4077
119 539364 6570
120 545934 3806
121 549740 5532
122 555272 3425
123 558697 4505
124 563202 24368
125 587570 2035
126 589605 4970
127 594575 4952
128 599527 5055
129 604582 4192
130 608774 3989
131 612763 3347
132 616110 23998
134 640108 4694
135 644802 5352
136 650154 15736
137 665890 10360
138 676250 1878
139 678128 5110
140 683238 5653
141 688891 3259
142 692150 6459
143 698609 7348
144 705957 5315
145 711272 6606
146 717878 3933
147 721811 6332
148 728143 5023
149 733166 6904
150 740070 4234
151 744304 8221
152 752525 5038
153 757563 4541
154 762104 34053
155 796157 1960
156 798117 4438
157 802555 5778
158 808333 4166
159 812499 2267
160 814766 21475
161 836241 5182
162 841423 4800
163 846223 4382
164 850605 2207
165 852812 4534
166 857346 4299
167 861645 5644
168 867289 4337
169 871626 22549
170 894175 4710
171 898885 3924
172 902809 5095
173 907904 2142
174 910046 4585
175 914631 5419
176 920050 5548
177 925598 3137
178 928735 5168
179 933903 5604
180 939507 6214
181 945721 3476
182 949197 5247
183 954444 4748
184 959192 4827
185 964019 3789
186 967808 6851
187 974659 4835
188 979494 4473
189 983967 2297
190 986264 25041
191 1011305 4780
192 1016085 5085
193 1021170 9498
194 1030668 10303
195 1040971 4183
196 1045154 4334
197 1049488 3929
198 1053417 5932
199 1059349 24236
200 1083585 2331
201 1085916 5155
202 1091071 5168
203 1096239 5470
204 1101709 3987
205 1105696 3311
206 1109007 3874
207 1112881 4621
208 1117502 4900
209 1122402 19095
210 1141497 2338
211 1143835 4719
212 1148554 8030
213 1156584 7917
214 1164501 2853
215 1167354 5070
216 1172424 7576
217 1180000 5102
218 1185102 5884
219 1190986 6223
220 1197209 3873
221 1201082 7690
222 1208772 4741
223 1213513 4493
224 1218006 3625
225 1221631 7432
226 1229063 5073
227 1234136 5081
228 1239217 23898
229 1263115 2316
230 1265431 3823
231 1269254 6750
232 1276004 4751
233 1280755 4974
234 1285729 3498
235 1289227 15594
236 1304821 4808
237 1309629 4031
238 1313660 4098
239 1317758 2157
240 1319915 4605
241 1324520 9070
242 1333590 4150
243 1337740 4540
244 1342280 4597
245 1346877 3022
246 1349899 9021
247 1358920 8261
248 1367181 2371
249 1369552 3779
250 1373331 5227
251 1378558 5201
252 1383759 4903
253 1388662 19075
254 1407737 4773
255 1412510 6404
256 1418914 2726
257 1421640 3430
258 1425070 5206
259 1430276 2805
260 1433081 11015
261 1444096 4476
262 1448572 5715
263 1454287 4320
264 1458607 3299
265 1461906 6034
266 1467940 4816
267 1472756 4314
268 1477070 3942
269 1481012 5467
270 1486479 4745
271 1491224 5734
272 1496958 22476
273 1519434 2544
274 1521978 4496
275 1526474 4387
276 1530861 5275
277 1536136 2584
278 1538720 4377
279 1543097 3722
280 1546819 4352
281 1551171 6254
282 1557425 27016
283 1584441 2533
284 1586974 5347
287 1592321 5170
288 1597491 16054
289 1613545 2175
290 1615720 2540
291 1618260 4108
292 1622368 3190
293 1625558 4199
294 1629757 3622
295 1633379 10990
296 1644369 10437
297 1654806 5479
298 1660285 13146
299 1673431 4805
300 1678236 5750
301 1683986 7628
302 1691614 7851
303 1699465 5381
304 1704846 7498
305 1712344 4511
306 1716855 3540
307 1720395 4470
308 1724865 6727
